command,index
pacman -Sy,369
sudo pacman -Sy,370
sudo paru -Syyuu,371
pwd,372
pacman -Sy,373
sudo pacman -Sy,374
ls,375
paru -Ss wezterm,376
paru -S wezterm,377
htop,378
z /etc/default/,379
ls,380
sudo nvim grub,381
sudo grub-makeconfig -o /boot/grub/grub.cfg,382
sudo grub-mkconfig -o /boot/grub/grub.cfg,383
sudo reboot now,384
bluetoothctl,385
ls,386
tar -xf Dracula-cursors.tar.xz -D ~/.icons/,387
tar -xf Dracula-cursors.tar.xz ,388
ls,389
mv Dracula-cursors ~/.icons/,390
paru -S neovide,391
paru -Syyuu,392
sudo reboot now,393
bluetoothctl,394
ip a,395
cyme --lsusb,396
history,397
exit,398
paru -Ss nvidia390xx,399
ls,400
git clone git clone --depth 1 https://github.com/makccr/wallpapers ~/.wallpaper/,401
git clone git clone --depth 1 https://github.com/makccr/wallpapers ~/.wallpaper,402
mkdir ~/.wallpapers,403
git clone git clone --depth 1 https://github.com/makccr/wallpapers ~/.wallpaper,404
git clone --depth 1 https://github.com/makccr/wallpapers ~/.wallpaper,405
ls,406
cd Tools/,407
z nvim,408
git status,409
git add .,410
sys,411
nvim ~/.config/starship.toml,412
ls,413
nvim ~/.config/starship.toml,414
starship preset pure-preset -o ~/.config/starship.toml,415
ls,416
cd,417
ls,418
cd Downloads/,419
starship preset jetpack -o ~/.config/starship.toml,420
camy --lausb,421
cany --lausb,422
thunar,423
ls,424
exit,425
trash-put flutter_linux_3.29.2-stable.tar.xz,426
ls,427
python3 --version,428
pip,429
pip3,430
paru -Ss uv,431
paru -S uv,432
ls,433
cd,434
ls,435
mkdir coding,436
mkdir -r coding/python/games,437
mkdir coding/python,438
mkdir coding/python/games,439
z coding/python/games/,440
ls,441
uv venv,442
ls,443
ls -a,444
uv init window_setup,445
ls,446
nvim,447
ls,448
source .venv/bin/activate.nu,449
source .venv/bin/activate,450
source .venv/bin/activate.nu,451
use .venv/bin/activate.nu ,452
uv list,453
uv pip list,454
uv install raylib,455
uv pip list,456
uv pip install raylib,457
uv pip list,458
deactivate,459
end,460
nvim ~/.config/starship.toml,461
ls,462
pwd,463
cp ~/.wezterm.lua ~/.wezterm.lua.bak,464
ls -a,465
nvim ~/.wezterm.lua,466
paru -S ttf-cascadia-code-nerd,467
bluetoothctl,468
ls -a,469
nvim ~/.wezterm.lua,470
paru -S ttf-meslo-nerd,471
trash-put .git/,472
ls,473
nvim,474
pacman -Ss lua,475
ls,476
tmux,477
sys disks,478
fastfetch,479
paru -Ss mpv,480
paru -S mpv,481
paru -Rns mpv,482
htop,483
trash-put 'Sabdham-(2025)-Hindi-Dubbed-Movie--720p-[Orgmovies].mp4',484
sys disks,485
ls,486
trash-put FiraCode.zip,487
ls,488
lsd,489
paru -Ss cava,490
paru -S cava,491
cava,492
paru -Ss libraoffoce,493
z codinf,494
z coding,495
cd,496
z coding,497
mkdir flutter_apps,498
cd flutter_apps/,499
ls,500
flutter create myapp,501
z myapp/,502
ls,503
nvim,504
ls,505
htop,506
ls,507
z ~/.wallpapers/,508
ls,509
z ~/.wallpaper,510
ls,511
yazi,512
cd,513
ls,514
pwd,515
ls,516
neovide --no-vsync,517
exit,518
nvim ~/.config/starship.toml,519
exit,520
bluetoothctl,521
ls,522
pwd,523
paru -Syyuu,524
ls,525
paru -Sy,526
ls,527
pwd,528
ls,529
nvim ~/.bashrc,530
ls,531
nvim ~/.bashrc,532
exit,533
bash,534
exit,535
ls,536
pwd,537
ll,538
flutter,539
ls,540
cd Downloads/,541
ls,542
du,543
ls,544
yazi,545
ls,546
yazi,547
lsd,548
paru -Ss libreoffice-fresh ,549
paru -S libreoffice-fresh ,550
z,551
ls,552
lsd,553
mkdir backup,554
mv history_for_print.txt ./backup/,555
ls,556
yazi,557
paru -Ss vtop,558
paru -S vtop,559
vtop,560
paru -Rns htop,561
vtop,562
nvidia-smi -l 2,563
z python,564
z coding/python/,565
ls,566
uv venv,567
pip,568
use .venv/bin/activate.nu ,569
ls,570
du,571
uv pip install gpustat,572
du,573
gpustat,574
exit,575
z python,576
ls,577
du,578
trash-put .venv/,579
ls,580
du,581
du -h,582
fdisk,583
lsbkl,584
lsblk,585
vtop,586
z Downloads/,587
yazy,588
yazi,589
clear,590
ls,591
find . --type f | fzf,592
find . -type f | fzf,593
clear,594
"fzf --preview=""bat {}""",595
ps,596
clear,597
sys host,598
sys,599
sys -h,600
sys temp,601
sys cpu,602
sys mem,603
vtop,604
sys users,605
sys mem,606
sys temp,607
clear,608
z,609
trash-put Downloads/HyDE,610
ls,611
du,612
tradh --help,613
tradh-cli,614
clear,615
df -h,616
sys disks,617
trash-empty,618
sys disks,619
exit,620
tmux,621
exit,622
ls,623
exit,624
uname -a,625
uname ,626
pacman -Q | grep linux,627
paru -Sy,628
paru -S linux-lts linux-lts-headers,629
uname,630
pacman -Q | grep linux,631
grub-mkconfig,632
sudo grub-mkconfig,633
sudo nvim /etc/default/grub,634
sudo grub-mkconfig -o /boot/grub/grub.cfg,635
sudo reboot now,636
la,637
lsd,638
pacman -Q | grep linux,639
uname,640
sudo nvim /etc/default/grub,641
sudo /boot/grub/grub.cfg,642
sudo nvim /boot/grub/grub.cfg,643
sudo grub-mkconfig -o /boot/grub/grub.cfg,644
sudo reboot now,645
lsd,646
uname,647
sudo reboot now,648
uname,649
sudo grub-mkconfig -o /boot/grub/grub.cfg,650
sudo reboot now,651
cd Downloads/,652
wget https://github.com/dracula/gtk/files/5214870/Dracula.zip,653
ls,654
unzip Dracula.zip,655
lsd,656
mv Dracul ~/.icons/,657
mv Dracula ~/.icons/,658
lsd,659
config nu,660
nvim ~/.config/nushell/config.nu,661
lsd,662
ls,663
lsd,664
pwd,665
ld,666
lsd,667
sudo paru -Syyuu,668
paru -Syyuu,669
lsd,670
sudo reboot now,671
ls,672
cd backup/,673
cd /etc/modprobe.d/,674
ls,675
nvim blacklist-r8188eu.conf,676
sudo nvim blacklist-r8188eu.conf,677
sudo nvim blacklist-rtl8xxxu.conf,678
sudo reboot now,679
vtop,680
ls,681
vtop,682
fastfetch,683
paru -Sy,684
paru -Ss timeshift,685
sys disks,686
sys mem,687
paru -S timeshift,688
sys mem,689
ls,690
fastfetch,691
pacman -Q | grep linux,692
pacman -Q | grep lsd,693
pacman -Q ,694
ls,695
echo pacman -Q ,696
pacman -Q > backup/packages.txt,697
pacman -Q >> backup/packages.txt,698
pacman -Q,699
pwd,700
z .config/,701
ls,702
l,703
la,704
ll,705
ls,706
cd python,707
z,708
exit,709
z python,710
ls,711
cd python,712
cls,713
ls,714
yazi --no-config,715
yazi -- --no-config,716
nvim nushell/config.nu,717
lsd,718
cd nvim,719
neovide,720
nvim,721
paru -Ss lua51,722
paru -S lua51,723
nvim,724
ls,725
l,726
exit,727
exit,728
l,729
la,730
ll,731
lla,732
sys disks,733
fastfetch,734
xrandr,735
cdpyinfo,736
xdpyinfo,737
paru -Ss xrandr,738
paru -S xrandr,739
paru -Syu,740
lsd,741
l,742
lspci -k -d ::03xx,743
lspci,744
lspci -vnnn,745
cyme --lsusb,746
ip a,747
ipconfig,748
ifconfig,749
ip addr,750
nmap,751
iptables,752
iptables --help,753
l,754
pwd,755
l,756
du,757
lsd,758
pwd,759
head,760
lsd,761
l,762
ls,763
uname,764
cd /etc/,765
ls,766
ls | grep hosts,767
nvim hosts,768
systemctl list-units --type=service --status=running,769
systemctl list-units --type=service --state=running,770
l,771
z,772
ls,773
lsd,774
pwd,775
z nushell,776
z .config/nushell/,777
nvim config.nu,778
lsd,779
p,780
source $nu.config-path,781
p,782
z,783
cls,784
pwd,785
lsblk,786
thunar,787
pwd,788
p,789
curl terminal-stocks.dev/ITC.NS,790
curl terminal-stocks.dev/GTL,791
curl terminal-stocks.dev/GTLINFRA.NS,792
curl terminal-stocks.dev/historical/GTLINFRA.NS,793
l,794
;a,795
la,796
vtop,797
dart --version,798
z .config/lsd/,799
ls,800
cat colors.yaml,801
cat config.yaml,802
lsd,803
git clone git clone https://github.com/dracula/lsd.git,804
git clone https://github.com/dracula/lsd.git,805
l,806
l lsd/\,807
l lsd/,808
mv colors.yaml config.yaml ./colors.yaml.bak ./config.yaml.bak,809
mv  config.yaml  ./config.yaml.bak,810
mv  colors.yaml  ./colors.yaml.bak,811
ls,812
mv lsd/colors.yaml ./,813
mv lsd/config.yaml ./,814
ls,815
lsd,816
l,817
z,818
l,819
ll,820
ls,821
ll,822
la,823
neovide,824
z .config/lsd/,825
lsd,826
neovide,827
l,828
ll,829
lsd,830
z .config/,831
l,832
ll,833
z .config/,834
l,835
trash-put lsd,836
ls,837
l,838
ll,839
z ..,840
ls,841
ll,842
ls,843
ls | grep wezterm,844
mkdir wezterm,845
cd wezterm/,846
git clone https://github.com/dracula/wezterm.git,847
l,848
ll,849
tte,850
tree,851
paru -Q tree,852
paru -S tree,853
tree,854
thunar,855
ls,856
nvim config.nu,857
nvim ~/.config/nushell/config.nu,858
source $nu.config-path,859
ls,860
nv ~/.wezterm.lua,861
ls,862
ll,863
lsd,864
ls,865
sys disks,866
paru -Ss tldr,867
paru -Ss tldr | grep tldr,868
man git,869
men git,870
paru -S tldr,871
tldr git,872
tldr cd,873
curl terminal-stocks.dev/GTLINFRA.NS,874
curl wttr.in/Kalyan,875
fastfetch ,876
z .config/,877
ls,878
ls | grep tldr,879
git clone https://github.com/dracula/tlrc.git,880
cd tlrc/,881
tree,882
tldr cd,883
la,884
ls,885
tree,886
cp dracula/config.full.toml ./,887
ls,888
tldr cd,889
v config.full.toml,890
tldr cd,891
tldr ls,892
tldr lsblk,893
tldr gdisk,894
tldr fdisk,895
lsd,896
btop,897
vtop,898
bluetoothctl,899
cava,900
bluetoothctl,901
exit,902
vtop,903
pacman -Sy,904
sudo pacman -Sy,905
sudo pacman -Syu,906
paru -Sy,907
paru -Syu,908
lsd,909
paru -S rofi,910
cls,911
pwd,912
p,913
cls,914
exit,915
tmux,916
paru -S rofi,917
rofi,918
rofi --show drun,919
rofi -show drun,920
z .config/,921
ls,922
ls | grep rofi,923
mkdir rofi,924
cd rofi/,925
touch config.rasi,926
v config.rasi,927
ls,928
v config.rasi,929
ls,930
bat config.rasi,931
rofi -show drun,932
v config.rasi,933
rofi -show drun,934
mv config.rasi ./theme.rasi,935
ls,936
touch config.rasi,937
v config.rasi,938
rofi -show drun,939
cd ..,940
ls,941
trash-put rofi,942
paru -Rns rofi,943
pwd,944
git clone https://github.com/JaKooLit/Hyprland-Dots/tree/main/config/rofi,945
z Downloads/,946
cd ~/Downloads/,947
git clone https://github.com/JaKooLit/Hyprland-Dots,948
ls,949
cd Hyprland-Dots/,950
l,951
cd config/,952
l,953
mv rofi ~/.config/,954
l,955
paru -S rofi,956
rofi -show drun,957
du,958
cd ..,959
ls,960
l,961
trash-put CONTRIBUTING.md LICENSE.md README.md README.jp.md upgrade.sh release.sh copy.sh COMMIT_MESSAGE_GUIDELINES.md CODE_OF_CONDUCT.md ,962
l,963
trash-put wallpapers/,964
l,965
trash-put Distro-Hyprland.sh,966
l,967
z rofi,968
ls,969
l,970
tree,971
rofi -show drun,972
exit,973
rofi -show drun,974
nv config.rasi,975
ls,976
cd rofi,977
ls,978
sys disks,979
yazi,980
paru -S btop,981
btop,982
vtop,983
btop,984
paru -Rns vtop,985
lsd,986
l,987
c Downloads/,988
z Downloads/,989
ls,990
yazi,991
thunar,992
fastfetch ,993
cd ~/.config/fastfetch/,994
ls,995
v config.jsonc,996
fastfetch ,997
v config.jsonc,998
fastfetch ,999
z Downloads/,1000
yazi,1001
q,1002
cd yazi,1003
cd .config/,1004
cd yazi/,1005
ls,1006
nv,1007
yazi,1008
btop,1009
pws,1010
p,1011
lsd,1012
l,1013
fastfetch,1014
l,1015
btop,1016
z rofi,1017
yazi,1018
cd ..,1019
trash-put rofi,1020
git clone --depth=1 https://github.com/adi1090x/rofi.git,1021
ls,1022
cd rofi/,1023
ls,1024
bat setup.sh,1025
sudo chmod +x setup.sh,1026
./setup.sh,1027
ls,1028
cd ..,1029
ls,1030
z,1031
cd Downloads/,1032
git clone --depth=1 https://github.com/adi1090x/rofi.git,1033
cd rofi/,1034
sudo chmod +x setup.sh,1035
./setup.sh,1036
z rofi,1037
ls,1038
yazi,1039
cd launchers/,1040
ls,1041
l,1042
z ..,1043
ls,1044
yazi,1045
cd launchers,1046
l,1047
la,1048
ls,1049
cd type-,1050
cd ..,1051
ls,1052
"rofi \
    -show drun \
    -theme ${dir}/${theme}.rasi",1053
rofi -show drun -theme ${dir}/${theme}.rasi,1054
rofi -show drun,1055
yazi,1056
cd launchers/type-1/,1057
ls,1058
sudo chmod +x launcher.sh,1059
./launcher.sh,1060
cat launcher.sh,1061
ls,1062
z ../type-6/,1063
ls,1064
sudo chmod +x launcher.sh,1065
neovim launcher.sh,1066
n launcher.sh,1067
v launcher.sh,1068
./launcher.sh,1069
v launcher.sh,1070
pwd,1071
z rofi,1072
ls,1073
yazi,1074
d scripts/,1075
z scripts/,1076
ls,1077
sudo chmod +x *.sh,1078
sudo chmod +x ./*.sh,1079
l,1080
tree,1081
./launcher_t1,1082
./launcher_t2,1083
./launcher_t3,1084
./launcher_t4,1085
./launcher_t5,1086
./launcher_t6,1087
./launcher_t7,1088
./launcher_t8,1089
./powermenu_t1,1090
pwd,1091
./launcher_t6,1092
./launcher_t5,1093
./launcher_t4,1094
./launcher_t3,1095
./launcher_t1,1096
./launcher_t6,1097
./launcher_t7,1098
z rofi,1099
yazi\,1100
yazi,1101
ls,1102
pacman -Qdt,1103
pacman -Qdtq,1104
fastfetch,1105
btop,1106
exit,1107
uname,1108
btop,1109
exit,1110
ls,1111
paru -Sy,1112
paru -Syu,1113
paru -S stow,1114
p,1115
z,1116
mkdir dotfiles,1117
fastfetch,1118
cd dotfiles/,1119
ls,1120
yazi,1121
ls,1122
trash-put fastfetch/.config/fastfetch,1123
tree,1124
mkdir fastfetch/.config,1125
tree,1126
la fastfetch/,1127
fastfetch,1128
clear,1129
ls,1130
stow fastfetch,1131
fastfetch ,1132
nvim ~/.config/nushell/config.nu,1133
ls,1134
stow nvim,1135
nvim ~/.config/nushell/config.nu,1136
cls,1137
stow neovide,1138
ls,1139
nv ~/.config/nushell/config.nu,1140
exit,1141
cls,1142
l,1143
stow lsd,1144
l,1145
lsd,1146
btop,1147
stow btop,1148
ls,1149
mv btop ~/.config/,1150
cls,1151
stow btop,1152
btop,1153
stow cava,1154
stow rofi,1155
stow starship,1156
cd dotfiles/,1157
l,1158
mv -r ~/.config/yazi/ ./,1159
mv  ~/.config/yazi/ ./,1160
ls,1161
yazi,1162
stow yazi,1163
yazi,1164
l,1165
la,1166
z,1167
la,1168
:q,1169
exit,1170
tmux,1171
cd dotfiles/,1172
ls,1173
tree tmux/,1174
stow tmux/,1175
z dotfiles,1176
stow wezterm,1177
yazi,1178
cd dotfiles,1179
ls,1180
stow wezterm_dracula/,1181
stow icons themes,1182
tree,1183
yazi,1184
stow yazi/,1185
git status,1186
git init,1187
git status,1188
git add .,1189
git status,1190
"git commit -m ""first stow created""",1191
"git config --global user.email ""rioten353@gmail.com""",1192
"git config --global user.name ""Rio""",1193
"git commit -m ""first stow created""",1194
git status,1195
du,1196
z,1197
ls,1198
zip -r dot.zip ./dotfiles,1199
tldr zip,1200
7z,1201
7z -a dotfiles.zip dotfiles,1202
7z -a dotfiles.zip ./dotfiles,1203
7z a dotfiles.zip ./dotfiles,1204
ls,1205
z dotfiles,1206
git branch -M main,1207
git push -u origin main,1208
ls,1209
z,1210
cd backup,1211
nv github.txt,1212
btop,1213
sys mem,1214
sys cpu,1215
curl wttr.in/Kalyan,1216
yazi,1217
cd dotfiles,1218
stow bash,1219
yazi,1220
git status,1221
git add .,1222
git status,1223
"git commit -m ""bash added""",1224
git push,1225
git push -u origin main,1226
touch .gitignore,1227
nv .gitignore,1228
git add .,1229
"git commit -m ""bash added with fix""",1230
git push -u origin main,1231
git commit --amend --all,1232
git push ,1233
yazi,1234
git commit --amend --all,1235
vi,1236
paru -S vi,1237
git commit --amend --all,1238
nv .gitignore,1239
"git commit -m ""fix""",1240
git rm --cached nushell/.config/nushell/history.txt,1241
git status,1242
git git add .,1243
git add .,1244
git status,1245
"git commit -m ""fix""",1246
git push ,1247
nv .gitignore,1248
git status,1249
git add .,1250
git status,1251
"git commit -m ""fix nu""",1252
git status,1253
git push ,1254
nv .gitignore,1255
git add .,1256
git status,1257
"git commit -m ""fix nushell""",1258
git push ,1259
git remote remove origin ,1260
git push ,1261
git push -u origin main,1262
nvidia-smi -l 2,1263
lsblk,1264
l,1265
paru -Ss zig,1266
paru -Sy,1267
paru -Syu,1268
pwd,1269
lsd,1270
du,1271
l,1272
la,1273
p,1274
z .config/nushell,1275
ls,1276
nv history.txt,1277
z dotfiles,1278
ls,1279
git status,1280
ls -h,1281
ls -a -h,1282
paru -Ss midori,1283
yazi,1284
pwd,1285
bluetoothctl,1286
btop,1287
bluetoothctl,1288
exit,1289
ssh,1290
ip addr,1291
help ls,1292
ls -f,1293
exit,1294
btop,1295
lsd,1296
pwd,1297
llsd,1298
z games,1299
lsd,1300
l,1301
paru -Sy,1302
paru -Syu,1303
sudo reboot now,1304
yazi,1305
ls,1306
paru -Qdt,1307
paru -Q vi,1308
paru -Q vi vim,1309
pwd,1310
lsd,1311
cls,1312
pwd,1313
cls,1314
exit,1315
tmux,1316
exit,1317
bluetoothctl,1318
paru -Sy,1319
paru -Syu,1320
pwd,1321
p,1322
l,1323
z dotfiles,1324
git status,1325
btop,1326
pwd,1327
cd nvim,1328
ls,1329
l,1330
ls,1331
z nvim,1332
ls,1333
nv,1334
l,1335
pw,1336
date,1337
date now,1338
date humanize ,1339
date now,1340
btop,1341
bluetoothctl,1342
z,1343
btop,1344
rust,1345
cargo ,1346
la,1347
cargo,1348
paru -Q cargo,1349
paru -Q rustc,1350
paru -Q rust,1351
paru -Ss cargo,1352
la,1353
du,1354
ls,1355
la,1356
yazi,1357
trash-empty,1358
lsd,1359
ls,1360
cls,1361
tmux,1362
tldr tmux,1363
pwd,1364
lsd,1365
pwd,1366
p,1367
yazi,1368
paru -Sy,1369
paru -Syu,1370
ls,1371
pwd,1372
lsd,1373
paru -Sy,1374
paru -Syu,1375
go version,1376
python3 --version,1377
dart --version,1378
flitter --version,1379
flutter --version,1380
node -v,1381
cargo,1382
exit,1383
paru -Q gcc,1384
paru -Q rust,1385
paru -S rust,1386
cargo,1387
z coding,1388
ls,1389
mkdir rust_lang,1390
l,1391
mkdir dart_lang,1392
mkdir go_lang,1393
l,1394
cargo,1395
dart,1396
go,1397
pwd,1398
z rust_lang/,1399
ls,1400
cargo create bin cli_app,1401
cargo new bin cli_app,1402
cargo ,1403
cargo new cli,1404
ls,1405
tree,1406
cd cli,1407
nv,1408
z nvim,1409
ls,1410
z ~/.config/nvim,1411
ls,1412
z nvim,1413
l,1414
nvim,1415
z rust_lang/,1416
ls,1417
nvim,1418
ls,1419
cargo c,1420
exit,1421
nv,1422
paru -Qdt,1423
date now,1424
deactivate,1425
vtop,1426
btop,1427
z,1428
ls,1429
cd coding/,1430
ls,1431
mkdir settings,1432
nv flutter_settings.json,1433
z,1434
uv --version,1435
paru -Q make      ,1436
paru -Q jest,1437
paru -Ss jest,1438
sys disks,1439
z games                   ,1440
ls,1441
ls window_setup/,1442
la,1443
git clone https://github.com/clear-code-projects/raylib_intro.git,1444
ls,1445
pwd,1446
p,1447
tree,1448
yazi,1449
nv ,1450
ls                           ,1451
nv,1452
ls        ,1453
pwd,1454
date now,1455
ls,1456
fastfetch ,1457
pd,1458
p,1459
exit,1460
pwd,1461
z dotfiles,1462
l,1463
cd wezterm,1464
la,1465
ls,1466
exit,1467
lsd,1468
nv .wezterm.lua,1469
lsd,1470
l,1471
tree,1472
lsd,1473
pwd,1474
ls,1475
exit,1476
ls,1477
pwd\,1478
p,1479
paru -Sy,1480
paru -Syu,1481
pwd,1482
p,1483
java,1484
paru -Ss java,1485
lsd,1486
pwd,1487
l,1488
pwd,1489
paru -Qdt,1490
pacman -Qdt,1491
pwd,1492
l,1493
btop,1494
yazi,1495
pwd,1496
lsd,1497
cls,1498
pwd,1499
cls,1500
